Município,agropecuario,transformacao/industrial,comercio e atividades essenciais,atividades financeiras servicos profissionais e tecnicos,administracao publica,saude,educacao e cultura,sum,classe
Água Santa,8.111702127659575,9.441489361702128,31.648936170212767,3.4574468085106385,47.07446808510639,0.26595744680851063,0.0,752,3
Agudo,1.001602564102564,32.171474358974365,37.419871794871796,6.049679487179487,17.708333333333336,5.048076923076923,0.6009615384615385,2496,4
Ajuricaba,6.050420168067227,15.966386554621847,42.016806722689076,7.142857142857142,22.689075630252102,4.621848739495799,1.5126050420168067,1190,1
Alecrim,2.8089887640449436,8.426966292134832,35.95505617977528,7.865168539325842,32.958801498127336,11.610486891385769,0.37453183520599254,534,1
Alegrete,14.688610164576236,17.05212789095918,34.24925686942652,6.728050460378452,16.711375335315015,7.0325527441455815,3.538026535199014,13793,4
Alegria,7.3979591836734695,2.5510204081632653,32.6530612244898,8.673469387755102,48.214285714285715,0.5102040816326531,0.0,392,3
Almirante Tamandaré do Sul,16.22103386809269,40.46345811051694,18.181818181818183,1.4260249554367201,23.52941176470588,0.17825311942959002,0.0,561,2
Alpestre,0.13123359580052493,8.530183727034121,36.61417322834646,12.073490813648293,39.501312335958005,3.149606299212598,0.0,762,1
Alto Alegre,3.578947368421052,5.684210526315789,48.0,2.9473684210526314,39.578947368421055,0.21052631578947367,0.0,475,1
Alto Feliz,15.704697986577182,52.080536912751676,9.664429530201343,1.2080536912751678,21.073825503355707,0.2684563758389262,0.0,745,2
Alvorada,0.056246133078350864,23.73024354575623,40.66032960233984,8.155689296360876,19.309297485797853,3.8472355025591995,4.240958434107655,17779,4
Amaral Ferrador,2.232142857142857,0.8928571428571428,15.848214285714285,2.0089285714285716,70.3125,8.705357142857142,0.0,448,6
Ametista do Sul,0.6422018348623854,40.550458715596335,27.981651376146786,2.7522935779816518,25.779816513761467,1.926605504587156,0.3669724770642202,1090,2
André da Rocha,40.06849315068493,17.80821917808219,9.931506849315069,0.3424657534246575,31.84931506849315,0.0,0.0,292,0
Anta Gorda,3.7121212121212124,33.86363636363636,36.96969696969697,5.0,15.227272727272728,2.878787878787879,2.348484848484848,1320,4
Antônio Prado,3.2485110990795887,52.355170546832696,22.523010286951813,6.009745533297239,10.232809962100704,3.492149431510558,2.1386031402273957,3694,2
Arambaré,36.092715231788084,0.9933774834437087,20.364238410596027,2.152317880794702,39.900662251655625,0.33112582781456956,0.16556291390728478,604,0
Araricá,0.7366482504604052,63.47452424800492,11.90914671577655,1.1663597298956414,21.976672805402085,0.06138735420503376,0.6752608962553714,1629,5
Aratiba,9.484873262469337,26.24693376941946,22.567457072771873,6.950122649223221,28.209321340964838,6.214227309893704,0.3270645952575634,1223,1
Arroio do Meio,1.9797687861271678,54.71098265895954,24.552023121387283,6.820809248554912,7.196531791907515,3.410404624277456,1.3294797687861273,6920,2
Arroio do Padre,0.0,4.850746268656716,16.044776119402986,2.6119402985074625,75.74626865671642,0.7462686567164178,0.0,268,6
